dataset,kind,OURS_upset_simple,best_gnn_upset_simple,OURS_runtime_sec,best_gnn_runtime_sec,upset_diff,runtime_ratio
Basketball_temporal/1985,basketball_temporal,0.620000,0.716240,0.680000,15.553035,-0.096240,0.043721
Basketball_temporal/1986,basketball_temporal,0.620000,0.752413,0.710000,15.611209,-0.132413,0.045480
Basketball_temporal/1987,basketball_temporal,0.660000,0.803973,0.740000,15.926481,-0.143973,0.046463
Basketball_temporal/1988,basketball_temporal,0.630000,0.720314,0.750000,15.788930,-0.090314,0.047502
Basketball_temporal/1989,basketball_temporal,0.630000,0.748201,0.810000,6.892814,-0.118201,0.117514
Basketball_temporal/1990,basketball_temporal,0.600000,0.727561,0.800000,15.996162,-0.127561,0.050012
Basketball_temporal/1991,basketball_temporal,0.640000,0.767138,0.870000,16.145581,-0.127138,0.053885
Basketball_temporal/1992,basketball_temporal,0.630000,0.724324,0.860000,16.096770,-0.094324,0.053427
Basketball_temporal/1993,basketball_temporal,0.620000,0.731872,0.760000,16.178821,-0.111872,0.046975
Basketball_temporal/1994,basketball_temporal,0.610000,0.735281,0.800000,16.255655,-0.125281,0.049214
Basketball_temporal/1995,basketball_temporal,0.640000,0.757823,0.830000,16.245889,-0.117823,0.051090
Basketball_temporal/1996,basketball_temporal,0.690000,0.805725,0.910000,16.353229,-0.115725,0.055647
Basketball_temporal/1997,basketball_temporal,0.670000,0.792714,0.950000,16.336157,-0.122714,0.058153
Basketball_temporal/1998,basketball_temporal,0.640000,0.772663,0.870000,16.409050,-0.132663,0.053020
Basketball_temporal/1999,basketball_temporal,0.700000,0.810717,0.900000,16.474665,-0.110717,0.054629
Basketball_temporal/2000,basketball_temporal,0.660000,0.802502,0.940000,16.635638,-0.142502,0.056505
Basketball_temporal/2001,basketball_temporal,0.620000,0.749267,0.890000,16.703493,-0.129267,0.053282
Basketball_temporal/2002,basketball_temporal,0.670000,0.779733,0.950000,16.822150,-0.109733,0.056473
Basketball_temporal/2003,basketball_temporal,0.690000,0.804827,0.960000,16.978374,-0.114827,0.056543
Basketball_temporal/2004,basketball_temporal,0.610000,0.722296,0.930000,16.927690,-0.112296,0.054940
Basketball_temporal/2005,basketball_temporal,0.660000,0.778309,1.020000,8.443991,-0.118309,0.120796
Basketball_temporal/2006,basketball_temporal,0.680000,0.788799,1.030000,17.275488,-0.108799,0.059622
Basketball_temporal/2007,basketball_temporal,0.670000,0.789139,1.140000,8.123276,-0.119139,0.140337
Basketball_temporal/2008,basketball_temporal,0.690000,0.809229,1.160000,17.589755,-0.119229,0.065947
Basketball_temporal/2009,basketball_temporal,0.650000,0.757725,1.250000,17.233449,-0.107725,0.072533
Basketball_temporal/2010,basketball_temporal,0.650000,0.772610,1.160000,17.933465,-0.122610,0.064684
Basketball_temporal/2011,basketball_temporal,0.680000,0.778801,1.150000,18.017490,-0.098801,0.063827
Basketball_temporal/2012,basketball_temporal,0.630000,0.734049,1.140000,17.744470,-0.104049,0.064245
Basketball_temporal/2013,basketball_temporal,0.660000,0.778550,1.180000,17.900455,-0.118550,0.065920
Basketball_temporal/2014,basketball_temporal,0.680000,0.788354,1.230000,18.082948,-0.108354,0.068020
Basketball_temporal/finer1985,basketball_temporal,1.250000,0.756059,2.800000,27.948553,0.493941,0.100184
Basketball_temporal/finer1986,basketball_temporal,1.090000,0.770703,2.860000,78.741394,0.319297,0.036321
Basketball_temporal/finer1987,basketball_temporal,1.210000,0.818564,3.130000,17.353725,0.391436,0.180365
Basketball_temporal/finer1988,basketball_temporal,1.170000,0.775254,3.200000,82.659088,0.394746,0.038713
Basketball_temporal/finer1989,basketball_temporal,1.160000,0.767020,3.380000,91.245034,0.392980,0.037043
Basketball_temporal/finer1990,basketball_temporal,1.160000,0.788222,3.410000,34.418943,0.371778,0.099073
Basketball_temporal/finer1991,basketball_temporal,1.140000,0.810409,3.490000,17.871980,0.329591,0.195278
Basketball_temporal/finer1992,basketball_temporal,1.110000,0.726452,3.520000,43.075255,0.383548,0.081717
Basketball_temporal/finer1993,basketball_temporal,1.150000,0.753557,3.200000,21.344971,0.396443,0.149918
Basketball_temporal/finer1994,basketball_temporal,1.150000,0.737457,3.280000,25.704201,0.412543,0.127606
Basketball_temporal/finer1995,basketball_temporal,1.190000,0.786561,3.390000,18.922945,0.403439,0.179148
Basketball_temporal/finer1996,basketball_temporal,1.210000,0.805566,3.610000,85.698557,0.404434,0.042124
Basketball_temporal/finer1997,basketball_temporal,1.220000,0.825125,3.770000,88.550701,0.394875,0.042574
Basketball_temporal/finer1998,basketball_temporal,1.200000,0.783593,3.840000,87.116405,0.416407,0.044079
Basketball_temporal/finer1999,basketball_temporal,1.200000,0.809712,3.960000,31.223773,0.390288,0.126826
Basketball_temporal/finer2000,basketball_temporal,1.180000,0.844074,4.640000,40.914767,0.335926,0.113406
Basketball_temporal/finer2001,basketball_temporal,1.200000,0.805272,4.370000,45.249424,0.394728,0.096576
Basketball_temporal/finer2002,basketball_temporal,1.180000,0.868207,4.470000,45.076950,0.311793,0.099164
Basketball_temporal/finer2003,basketball_temporal,1.220000,0.865823,4.740000,41.956942,0.354177,0.112973
Basketball_temporal/finer2004,basketball_temporal,1.210000,0.772286,4.670000,30.473425,0.437714,0.153248
Basketball_temporal/finer2005,basketball_temporal,1.230000,0.842236,4.910000,61.178332,0.387764,0.080257
Basketball_temporal/finer2006,basketball_temporal,1.220000,0.858228,5.180000,69.664393,0.361772,0.074356
Basketball_temporal/finer2007,basketball_temporal,1.230000,0.856004,5.940000,68.234656,0.373996,0.087053
Basketball_temporal/finer2008,basketball_temporal,1.180000,0.846739,6.270000,78.237014,0.333261,0.080141
Basketball_temporal/finer2009,basketball_temporal,1.220000,0.836148,6.430000,56.139581,0.383852,0.114536
Basketball_temporal/finer2010,basketball_temporal,1.200000,0.815389,6.490000,75.520259,0.384611,0.085937
Basketball_temporal/finer2011,basketball_temporal,1.250000,0.853248,6.450000,65.383687,0.396752,0.098648
Basketball_temporal/finer2012,basketball_temporal,1.190000,0.804033,6.570000,48.712567,0.385967,0.134873
Basketball_temporal/finer2013,basketball_temporal,1.210000,0.829485,6.650000,75.046941,0.380515,0.088611
Basketball_temporal/finer2014,basketball_temporal,1.210000,0.840999,6.700000,25.534364,0.369001,0.262391
Dryad_animal_society,animal_static,0.380000,0.332075,0.020000,9.521118,0.047925,0.002101
FacultyHiringNetworks/Business/Business_FM_Full_,faculty_business,0.360000,0.356575,0.110000,12.915879,0.003425,0.008517
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,faculty_cs,0.240000,0.302488,0.130000,13.790769,-0.062488,0.009427
FacultyHiringNetworks/History/History_FM_Full_,faculty_history,0.230000,0.261794,0.100000,12.486017,-0.031794,0.008009
Football_data_England_Premier_League/England_2009_2010,football_temporal,0.630000,0.641463,0.020000,3.306416,-0.011463,0.006049
Football_data_England_Premier_League/England_2010_2011,football_temporal,0.990000,0.920497,0.020000,5.051110,0.069503,0.003960
Football_data_England_Premier_League/England_2011_2012,football_temporal,0.850000,0.800000,0.020000,5.029060,0.050000,0.003977
Football_data_England_Premier_League/England_2012_2013,football_temporal,0.890000,0.776471,0.020000,6.654170,0.113529,0.003006
Football_data_England_Premier_League/England_2013_2014,football_temporal,0.650000,0.584242,0.020000,5.474662,0.065758,0.003653
Football_data_England_Premier_League/England_2014_2015,football_temporal,0.930000,0.927103,0.010000,6.161786,0.002897,0.001623
Football_data_England_Premier_League/finerEngland_2009_2010,football_temporal,0.880000,0.653659,0.040000,7.476830,0.226341,0.005350
Football_data_England_Premier_League/finerEngland_2010_2011,football_temporal,1.140000,1.158385,0.030000,7.713494,-0.018385,0.003889
Football_data_England_Premier_League/finerEngland_2011_2012,football_temporal,0.970000,0.877576,0.040000,15.965152,0.092424,0.002505
Football_data_England_Premier_League/finerEngland_2012_2013,football_temporal,1.120000,0.852288,0.040000,5.496228,0.267712,0.007278
Football_data_England_Premier_League/finerEngland_2013_2014,football_temporal,0.920000,0.671515,0.030000,6.941191,0.248485,0.004322
Football_data_England_Premier_League/finerEngland_2014_2015,football_temporal,1.080000,1.050467,0.030000,6.594662,0.029533,0.004549
Halo2BetaData/HeadToHead,headtohead_static,0.880000,0.998103,1.080000,20.515253,-0.118103,0.052644
finance,finance_static,NA,1.000000,NA,3283.161209,NA,NA
