method,config,valid_metrics,valid_runtime,timeouts_or_missing_runtime,finance_status
DIGRAC,K12dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1,1,0,absent
DIGRAC,K12dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1,1,0,absent
DIGRAC,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,61,61,0,completed
DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,61,61,0,completed
DIGRAC,K3dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1,1,0,absent
DIGRAC,K3dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1,1,0,absent
DIGRAC,K48dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1,1,0,absent
DIGRAC,K48dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1,1,0,absent
DIGRAC,K5dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1,1,0,absent
DIGRAC,K5dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials1train_r100test_r100AllTrue,1,0,1,absent
DIGRAC,K5dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1,1,0,absent
DIGRAC,K9dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,13,13,0,absent
DIGRAC,K9dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,13,13,0,absent
OURS_MFAS,trials10train_r100test_r100AllTrue,77,77,1,timeout_or_missing
OURS_MFAS_INS1,trials10train_r100test_r100AllTrue,77,77,1,timeout_or_missing
OURS_MFAS_INS1,trials1train_r100test_r100AllTrue,3,3,0,completed
OURS_MFAS_INS2,trials10train_r100test_r100AllTrue,77,77,1,timeout_or_missing
OURS_MFAS_INS2,trials1train_r100test_r100AllTrue,3,3,0,completed
OURS_MFAS_INS3,trials10train_r100test_r100AllTrue,77,77,1,timeout_or_missing
OURS_MFAS_INS3,trials1train_r100test_r100AllTrue,3,3,0,completed
PageRank,trials10train_r100test_r100AllTrue,78,78,0,completed
PageRank,trials1train_r100test_r100AllTrue,3,3,0,completed
SVD_NRS,trials10train_r100test_r100AllTrue,78,78,0,completed
SVD_NRS,trials1train_r100test_r100AllTrue,4,3,1,completed
SVD_RS,trials10train_r100test_r100AllTrue,78,78,0,completed
SVD_RS,trials1train_r100test_r100AllTrue,4,3,1,completed
SpringRank,trials10train_r100test_r100AllTrue,78,78,0,completed
SpringRank,trials1train_r100test_r100AllTrue,4,3,1,completed
btl,trials10train_r100test_r100AllTrue,78,78,0,completed
btl,trials1train_r100test_r100AllTrue,3,3,0,completed
btlDIGRAC,K5dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials2train_r80test_r10AllFalseseeds10_20_30_40_50,1,0,1,absent
davidScore,trials10train_r100test_r100AllTrue,78,78,0,completed
davidScore,trials1train_r100test_r100AllTrue,3,3,0,completed
eigenvectorCentrality,trials10train_r100test_r100AllTrue,78,78,0,completed
eigenvectorCentrality,trials1train_r100test_r100AllTrue,3,3,0,completed
ib,K12dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1,1,0,absent
ib,K12dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1,1,0,absent
ib,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,61,61,0,completed
ib,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,61,61,1,timeout_or_missing
ib,K3dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1,1,0,absent
ib,K3dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1,1,0,absent
ib,K48dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1,1,0,absent
ib,K48dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1,1,0,absent
ib,K5dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1,1,0,absent
ib,K5dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials1train_r100test_r100AllTrue,1,0,1,absent
ib,K5dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1,1,0,absent
ib,K9dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,13,13,0,absent
ib,K9dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,13,13,0,absent
mvr,trials10train_r100test_r100AllTrue,15,15,1,absent
mvr,trials1train_r100test_r100AllTrue,1,1,2,timeout_or_missing
rankCentrality,trials10train_r100test_r100AllTrue,78,78,0,completed
rankCentrality,trials1train_r100test_r100AllTrue,3,3,0,completed
serialRank,trials10train_r100test_r100AllTrue,78,78,0,completed
serialRank,trials1train_r100test_r100AllTrue,3,3,0,completed
syncRank,trials10train_r100test_r100AllTrue,77,77,1,timeout_or_missing
syncRank,trials1train_r100test_r100AllTrue,3,3,0,completed
