dataset,ours_method,ours_runtime_sec,baseline_method,baseline_runtime_sec,speedup_baseline_over_ours,ours_not_dominated
Basketball_temporal/1985,OURS_MFAS,0.6767847776412964,davidScore,0.0025603055953979494,0.0037830425269330457,1
Basketball_temporal/1986,OURS_MFAS,0.711310863494873,SpringRank,0.05685856342315674,0.07993490095707861,1
Basketball_temporal/1987,OURS_MFAS,0.741205358505249,SpringRank,0.05712494850158691,0.07707033934129655,1
Basketball_temporal/1988,OURS_MFAS,0.74574875831604,SpringRank,0.06344053745269776,0.08506958509183647,1
Basketball_temporal/1989,OURS_MFAS,0.8101303100585937,SpringRank,0.057374882698059085,0.07082179494544448,1
Basketball_temporal/1990,OURS_MFAS,0.8008340120315551,SpringRank,0.05747630596160889,0.07177056056323462,1
Basketball_temporal/1991,OURS_MFAS,0.8714826345443726,davidScore,0.002699136734008789,0.003097177874829311,1
Basketball_temporal/1992,OURS_MFAS,0.8627233266830444,davidScore,0.0027718305587768554,0.003212884679302519,1
Basketball_temporal/1993,OURS_MFAS,0.7647980213165283,davidScore,0.002694535255432129,0.003523198518209734,1
Basketball_temporal/1994,OURS_MFAS,0.8045990705490113,davidScore,0.002732396125793457,0.00339597226222127,1
Basketball_temporal/1995,OURS_MFAS,0.8288734436035157,SpringRank,0.05739912986755371,0.06924957037833399,1
Basketball_temporal/1996,OURS_MFAS,0.9069351196289063,davidScore,0.002784132957458496,0.003069825941460608,1
Basketball_temporal/1997,OURS_MFAS,0.9457767248153687,SpringRank,0.05763709545135498,0.0609415456513869,1
Basketball_temporal/1998,OURS_MFAS,0.8661757707595825,SpringRank,0.05852241516113281,0.0675641332126068,1
Basketball_temporal/1999,OURS_MFAS,0.8963996648788453,davidScore,0.0028937339782714845,0.0032281738733833565,1
Basketball_temporal/2000,OURS_MFAS,0.9387068271636962,SpringRank,0.05771539211273193,0.06148393773497851,1
Basketball_temporal/2001,OURS_MFAS,0.8930885553359985,SpringRank,0.05779855251312256,0.06471760517788468,1
Basketball_temporal/2002,OURS_MFAS,0.9503316164016724,SpringRank,0.05780818462371826,0.060829486913844544,1
Basketball_temporal/2003,OURS_MFAS,0.9572601556777954,davidScore,0.002987217903137207,0.003120591497952909,1
Basketball_temporal/2004,OURS_MFAS,0.9303649425506592,davidScore,0.002977299690246582,0.0032001417444686934,1
Basketball_temporal/2005,OURS_MFAS,1.0165223598480224,SpringRank,0.057708024978637695,0.05677004978745915,1
Basketball_temporal/2006,OURS_MFAS,1.0294702053070068,davidScore,0.0030763626098632814,0.0029882968870826657,1
Basketball_temporal/2007,OURS_MFAS,1.1356131553649902,SpringRank,0.059644770622253415,0.052522084955138944,1
Basketball_temporal/2008,OURS_MFAS,1.1636905670166016,davidScore,0.0031940698623657226,0.0027447759334807385,1
Basketball_temporal/2009,OURS_MFAS,1.2531939506530763,davidScore,0.0033057689666748046,0.0026378749793294735,1
Basketball_temporal/2010,OURS_MFAS,1.1581235885620118,davidScore,0.0032492876052856445,0.0028056484103912726,1
Basketball_temporal/2011,OURS_MFAS,1.148339080810547,davidScore,0.0032130956649780275,0.0027980373729944706,1
Basketball_temporal/2012,OURS_MFAS,1.1406909227371216,SpringRank,0.06037969589233398,0.05293256454382149,1
Basketball_temporal/2013,OURS_MFAS,1.1796931266784667,davidScore,0.0032353878021240236,0.002742567307511193,1
Basketball_temporal/2014,OURS_MFAS,1.2315530061721802,davidScore,0.0032459259033203124,0.0026356363770399568,1
Basketball_temporal/finer1985,OURS_MFAS,2.8004301309585573,SpringRank,0.05742104053497314,0.02050436463319959,1
Basketball_temporal/finer1986,OURS_MFAS,2.860641670227051,SpringRank,0.06362726688385009,0.02224230582462289,1
Basketball_temporal/finer1987,OURS_MFAS,3.126148986816406,SpringRank,0.0574530839920044,0.018378229647497774,1
Basketball_temporal/finer1988,OURS_MFAS,3.198562812805176,SpringRank,0.05733675956726074,0.017925788212667847,1
Basketball_temporal/finer1989,OURS_MFAS,3.3831441164016725,SpringRank,0.05740611553192139,0.01696827375860618,1
Basketball_temporal/finer1990,OURS_MFAS,3.411170148849487,SpringRank,0.11513841152191162,0.033753347531123676,1
Basketball_temporal/finer1991,OURS_MFAS,3.489010047912598,SpringRank,0.05640709400177002,0.01616707697231116,1
Basketball_temporal/finer1992,OURS_MFAS,3.519717288017273,SpringRank,0.06395347118377685,0.018170059112845145,1
Basketball_temporal/finer1993,OURS_MFAS,3.202152705192566,SpringRank,0.05869889259338379,0.018331072249677064,1
Basketball_temporal/finer1994,OURS_MFAS,3.2802961349487303,SpringRank,0.05716543197631836,0.0174269119690963,1
Basketball_temporal/finer1995,OURS_MFAS,3.390370178222656,SpringRank,0.0564072847366333,0.016637500264411794,1
Basketball_temporal/finer1996,OURS_MFAS,3.607684683799744,SpringRank,0.0723757266998291,0.020061544465022473,1
Basketball_temporal/finer1997,OURS_MFAS,3.7689462900161743,SpringRank,0.05704739093780518,0.015136164473588282,1
Basketball_temporal/finer1998,OURS_MFAS,3.8371859550476075,SpringRank,0.06440296173095703,0.016783904268761973,1
Basketball_temporal/finer1999,OURS_MFAS,3.959347438812256,SpringRank,0.06484653949737548,0.0163780876772028,1
Basketball_temporal/finer2000,OURS_MFAS,4.643761849403381,SpringRank,0.05711207389831543,0.012298665554016954,1
Basketball_temporal/finer2001,OURS_MFAS,4.366051149368286,SpringRank,0.06471681594848633,0.014822734259045511,1
Basketball_temporal/finer2002,OURS_MFAS,4.474249243736267,SpringRank,0.05782935619354248,0.012924929534156101,1
Basketball_temporal/finer2003,OURS_MFAS,4.740268063545227,SpringRank,0.06590237617492675,0.013902668644785171,1
Basketball_temporal/finer2004,OURS_MFAS,4.671033954620361,SpringRank,0.06634008884429932,0.014202442005089452,1
Basketball_temporal/finer2005,OURS_MFAS,4.910493803024292,SpringRank,0.07841007709503174,0.015967859901735396,0
Basketball_temporal/finer2006,OURS_MFAS,5.177806067466736,davidScore,0.003186964988708496,0.0006155048967038143,0
Basketball_temporal/finer2007,OURS_MFAS,5.944427847862244,SpringRank,0.07455196380615234,0.012541486870424877,0
Basketball_temporal/finer2008,OURS_MFAS,6.270171284675598,SpringRank,0.0669792890548706,0.01068221042359227,0
Basketball_temporal/finer2009,OURS_MFAS,6.4344021558761595,SpringRank,0.06407198905944825,0.009957722179508952,0
Basketball_temporal/finer2010,OURS_MFAS,6.487722110748291,SpringRank,0.09893226623535156,0.01524915286853135,0
Basketball_temporal/finer2011,OURS_MFAS,6.446493601799011,SpringRank,0.06497571468353272,0.010079233564336444,0
Basketball_temporal/finer2012,OURS_MFAS,6.565420198440552,SpringRank,0.06317765712738037,0.00962278958814953,1
Basketball_temporal/finer2013,OURS_MFAS,6.646721863746643,SpringRank,0.059712910652160646,0.008983813656752217,0
Basketball_temporal/finer2014,OURS_MFAS,6.701660323143005,SpringRank,0.09124064445495605,0.013614632800751262,1
Dryad_animal_society,OURS_MFAS,0.01628158092498779,davidScore,0.000937342643737793,0.0575707388647516,1
FacultyHiringNetworks/Business/Business_FM_Full_,OURS_MFAS,0.11236457824707032,SpringRank,0.11910800933837891,1.0600138513089148,1
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,OURS_MFAS,0.12867577075958253,SpringRank,0.060199427604675296,0.4678380960868829,1
FacultyHiringNetworks/History/History_FM_Full_,OURS_MFAS,0.10388627052307128,btl,0.051860475540161134,0.49920432487413097,1
Football_data_England_Premier_League/England_2009_2010,OURS_MFAS,0.017695975303649903,SpringRank,0.0570777416229248,3.2254645840939986,1
Football_data_England_Premier_League/England_2010_2011,OURS_MFAS,0.019208645820617674,SVD_NRS,0.002344512939453125,0.12205508713876295,1
Football_data_England_Premier_League/England_2011_2012,OURS_MFAS,0.018476319313049317,SpringRank,0.07113959789276122,3.850312212482563,1
Football_data_England_Premier_League/England_2012_2013,OURS_MFAS,0.01747457981109619,SVD_NRS,0.002385592460632324,0.13651787261388088,1
Football_data_England_Premier_League/England_2013_2014,OURS_MFAS,0.018764972686767578,davidScore,0.0009239912033081055,0.04924021040327294,1
Football_data_England_Premier_League/England_2014_2015,OURS_MFAS,0.01463015079498291,SVD_NRS,0.0023413181304931642,0.16003376611101425,1
Football_data_England_Premier_League/finerEngland_2009_2010,OURS_MFAS,0.0352595329284668,SVD_NRS,0.0023584842681884767,0.06688926574760024,1
Football_data_England_Premier_League/finerEngland_2010_2011,OURS_MFAS,0.034755396842956546,SVD_NRS,0.0023663997650146484,0.0680872606837812,1
Football_data_England_Premier_League/finerEngland_2011_2012,OURS_MFAS,0.03636603355407715,SVD_NRS,0.002386188507080078,0.06561585836771996,1
Football_data_England_Premier_League/finerEngland_2012_2013,OURS_MFAS,0.03667449951171875,SVD_NRS,0.0031434774398803713,0.08571289265654254,1
Football_data_England_Premier_League/finerEngland_2013_2014,OURS_MFAS,0.03476994037628174,davidScore,0.0008877277374267578,0.025531471374978826,1
Football_data_England_Premier_League/finerEngland_2014_2015,OURS_MFAS,0.025234127044677736,davidScore,0.0008872747421264648,0.035161697512084325,1
Halo2BetaData/HeadToHead,OURS_MFAS,1.0788014650344848,SpringRank,0.06416070461273193,0.05947406143973023,1
_AUTO/Basketball_temporal__1985adj,OURS_MFAS_INS2,0.9865016937255859,davidScore,0.003982067108154297,0.0040365537469234025,0
finance,OURS_MFAS_INS1,901.1471512317657,ib,3283.161208987236,3.643313086546995,0
